Well.names,Area,Drug
D08,169,20(S
D08,298,20(S
D08,175,20(S
D08,107,20(S
D09,438,20(S
D07,251,20(S
D09,182,20(S
D08,859,20(S
D07,240,20(S
D08,802,20(S
D09,805,20(S
D08,311,20(S
D09,186,20(S
D07,657,20(S
D08,371,20(S
D07,154,20(S
D08,153,20(S
D07,111,20(S
D09,461,20(S
D09,271,20(S
D07,967,20(S
D07,172,20(S
D09,913,20(S
D08,694,20(S
D08,504,20(S
D08,506,20(S
D07,286,20(S
D09,477,20(S
D09,616,20(S
D09,585,20(S
D09,231,20(S
D09,1259,20(S
D07,697,20(S
D07,270,20(S
D09,190,20(S
D07,920,20(S
D07,145,20(S
D09,421,20(S
D09,390,20(S
D08,417,20(S
D09,157,20(S
D09,530,20(S
D07,279,20(S
D08,386,20(S
D08,125,20(S
D08,779,20(S
D07,62,20(S
D09,441,20(S
D09,171,20(S
D08,634,20(S
D08,906,20(S
D08,396,20(S
D09,353,20(S
D07,741,20(S
D07,349,20(S
D09,117,20(S
D07,1014,20(S
D09,404,20(S
D07,646,20(S
D09,479,20(S
D08,512,20(S
D09,438,20(S
D07,470,20(S
D09,634,20(S
D07,427,20(S
D07,207,20(S
D08,217,20(S
D09,615,20(S
D09,468,20(S
D07,508,20(S
D09,214,20(S
D09,1287,20(S
D08,211,20(S
D08,112,20(S
D08,93,20(S
D08,1209,20(S
D07,61,20(S
D07,329,20(S
D07,371,20(S
D08,714,20(S
D08,251,20(S
D07,485,20(S
D08,1821,20(S
D07,546,20(S
D07,223,20(S
D07,110,20(S
D07,232,20(S
D09,406,20(S
D09,208,20(S
D09,584,20(S
D07,104,20(S
D08,485,20(S
D07,219,20(S
D09,366,20(S
D08,70,20(S
D09,406,20(S
D07,151,20(S
D09,142,20(S
D09,741,20(S
D09,1055,20(S
D09,253,20(S
D07,743,20(S
D07,117,20(S
D07,326,20(S
D07,270,20(S
D07,1152,20(S
D09,837,20(S
D07,223,20(S
D09,236,20(S
D07,490,20(S
D08,532,20(S
D07,216,20(S
D08,1979,20(S
D07,392,20(S
D09,138,20(S
D08,294,20(S
D09,164,20(S
D08,90,20(S
D07,383,20(S
D08,234,20(S
D09,361,20(S
D08,200,20(S
D07,279,20(S
D07,993,20(S
D08,179,20(S
D07,294,20(S
D09,1188,20(S
D07,499,20(S
D09,1730,20(S
D08,1449,20(S
D07,123,20(S
D07,84,20(S
D08,679,20(S
D08,507,20(S
D08,473,20(S
D07,372,20(S
D07,93,20(S
D08,439,20(S
D09,173,20(S
D07,497,20(S
D08,1845,20(S
D07,57,20(S
D07,263,20(S
D08,502,20(S
D09,267,20(S
D09,699,20(S
D07,1883,20(S
D07,432,20(S
D07,607,20(S
D09,693,20(S
D09,152,20(S
D07,109,20(S
D07,123,20(S
D07,87,20(S
D07,295,20(S
D08,246,20(S
D09,200,20(S
D09,381,20(S
D08,132,20(S
D08,2191,20(S
D08,1345,20(S
D08,702,20(S
D07,243,20(S
D07,259,20(S
D07,646,20(S
D09,2576,20(S
D07,180,20(S
D09,550,20(S
D09,550,20(S
D07,217,20(S
D07,183,20(S
D08,229,20(S
D09,380,20(S
D09,196,20(S
D09,215,20(S
D07,818,20(S
D08,1483,20(S
D07,159,20(S
D09,468,20(S
D08,696,20(S
D07,1902,20(S
D09,321,20(S
D07,629,20(S
D09,191,20(S
D07,521,20(S
D09,192,20(S
D09,184,20(S
D09,511,20(S
D09,644,20(S
D08,656,20(S
D09,2406,20(S
D07,229,20(S
D09,272,20(S
D08,345,20(S
D07,291,20(S
D07,333,20(S
D09,83,20(S
D09,571,20(S
D07,224,20(S
D08,686,20(S
D07,1468,20(S
D09,178,20(S
D07,102,20(S
D08,1144,20(S
D08,313,20(S
D07,713,20(S
